ability-	здатність
spill-	проливати (ся)
spin-	крутити (ся)
spite-	злість
splash-	бризкати (ся)
split-	розколювати (ся)
spoil-	псувати (ся)
sport-	спорт
spot-	місце
spray-	бризкати
spread-	поширювати (ся)
spring-	весна
spring-	відскочити
square-	квадрат
square-	квадратний
squash-	роздавлювати
squeeze-	вичавлювати (ся)
stage-	щабель
stamp-	марка
stamp-	топати ногою
stand-	стояти
standard-	стандарт
star-	зірка
stare-	вдивлятися
start-	початок
start-	починати
state-	стан
statement-	заяву
stay-	залишатися
steady-	стійкий
steal-	красти
steam-	пар
steep-	крутий
steer-	направляти
step-	крок
stick-	приклеювати (ся)
sticky-	клейкий
stiff-	жорсткий
still-	досі
still-	тихий
sting-	жалити
stir-	розмішувати
stone-	камінь
stop-	зупинка
stop-	зупиняти (ся)
store-	магазин
store-	запасати
storm-	шторм
story-	розповідь
straight-	прямий
straight-	прямо
strange-	дивний
stranger-	н знайомець
street-	вулиця
strength-	сила
stretch-	тягнути (ся)
strict-	строгий
strike-	ударяти (ся)
strike-	страйк
string-	мотузка
strong-	сильний
study-	вивчати
study-	вивчення
stupid-	дурний
style-	стиль
subject-	предмет
substance-	речовина
succeed-	вдаватися
success-	успіх
successful-	вдалий
such-	такий
sudden-	раптовий
suddenly-	раптом
suffer-	страждати
suggest-	пропонувати
suggestion-	пропозиція
suit-	костюм
suit-	підходити
summer-	літо
supply-	поставка
support-	підтримувати
suppose-	допускати
sure-	впевнений
sure-	звичайно
surface-	поверхню
surprise-	сюрприз
surprised-	здивований
surprising-	несподіваний
survive-	пережити
swallow-	ковтати
sweep-	помсти
sweet-	солодкий
swim-	плавати
swimming-	плавання
swing-	качати ( ся)
switch-	вимикач
switch-	перемикати
system-	система
table-	стіл
take-	брати
take away-	прибирати
take back-	віддавати
take off-	знімати одяг
take out-	виймати
take over-	приймати справи від іншого
talk-	розмова
talk-	розмовляти
talk back-	сперечатися
talk into-	умовити
talk out of-	ОТГ воріть
tall-	високий
tap-	(по) стукати
tap-	кран
tape-	(магнітна) стрічка
target-	мета
task-	завдання
taste-	смак
taste-	пробувати (на смак)
tax-	податок
teach-	викладати
team-	команда
tear-	рвати (ся)
telephone-	телефон
television-	телевізор
tell-	говорити
temper-	характер
temperature-	температура
tend-	мати тенденцію
tense-	збуджений
term-	термін
terrible-	страшний
test-	тест
test-	відчувати
than-	ніж
thank-	дякувати
thanks-	дякую
thank you-	дякую
that-	той
that-	так
the-	_
their-	їх
theirs-	їх
them-	їм
themselves-	себе
then-	затем
there-	там
there-	есть
they-	они
thick-	товстий
thin-	тонкий
thing-	річ
think-	думати
think of-	подумати про
think over-	обдумувати
think through-	продумувати
thirsty-	спрага
this-	той
this-	цей
thorough-	ретельний
though-	хоча
thought-	думка
threaten-	погрожувати
through-	через
through-	вільний
throughout-	по всьому
throw-	кидати
thumb-	великий палець руки
ticket-	квиток
tidy-	акуратний
tidy-	прибирати
tie-	звязувати
tight-	тісний
time-	час
tip-	кінчик
tip-	нахилятись
tired-	стомлений
to-	до
today-	сегодні
together-	разом
tomorrow-	завтра
tone-	тон
tongue-	язик
tonight-	ввечері
too-	занадто
tool-	(рабочий) інструмент
tooth-	зуб
top-	верхівка
top-	верхній
total-	абсолютний
total-	цiле
touch-	дотик
touch-	торкатися
tough-	жорсткий
tour-	подорож
towards-	по направленню до
town-	місто
track-	стежка
trade-	торгівля
trade-	торгувати
tradition-	традиція
traffic-	рух
tragedy-	нещастя
train-	поїзд
train-	тренуватися
translate-	переводити
transparent-	прозорий
transport-	транспорт
trap-	капкан
trap-	затримувати
travel-	подорожувати
tread-	наступати
treat-	звертатись
treat-	радість
treatment-	лікування
trial-	судовий процес
trick-	обман
trick-	обманювати
trip-	подорож
trip-	зашпоркнутися
trouble-	стурбованість
trousers-	брюки
trust-	вірити
trust-	віра
truth-	правда
try-	намагатися
tune-	мелодія
turn-	черга
turn-	повертатися
turn away-	проганяти
turn back-	обернутися
turn down-	вбивати
turn into-	перетворювати в
turn off-	згортати
turn on-	вмикати
turn out-	виявлятися
turn over-	перевертатися
turn up-	посилювати
twist-	крутити
type-	тип
typical-	типовий
unable-	нездатний
uncertain-	невизначений
uncomfortable-	незручний
under-	вниз
under-	при
underneath-	вниз
underneath-	вниз
understand-	розуміти
undo-	розвязувати
unfair-	несправедливий
unfortunate-	неудачливий
unhappy-	несчастливый
uniform-	форма
union-	обьеднання
unit-	частина
unite-	зєднуватись
university-	університет
unkind-	злий
unless-	якщо не
unlikely-	неправдоподібний
unlucky-	нещасливий
unpleasant-	неприємний
until-	до
unusual-	незвичний
up-	вгору
upon = on-	на
upset-	засмучений
upstairs-	нагорі
upwards-	вгору
urgent-	терміново
us-	нас
use-	використовувати-
use-	використовувати-
used-	використаний
usual-	звичайний
usually-	зазвичай
valuable-	цінний
value-	цінність
vanish-	зникати
variety-	різноманітність
various-	різноманітний
very-	дуже
view-	вид
violence-	насильство
violent-	насильницький
vision-	бачення
visit-	візит
visit-	візит
voice-	голос
vote-	голосувати
wait-	чекати
wake-	пробуджувати
walk-	ходити
walk-	ходити
wall-	стіна
wander-	мандрувати
want-	хочу
war-	війна
warm-	теплий
warn-	попереджати
warning-	попередження
wash-	мити (ся)
wash-	миття
waste-	витрачати
waste-	зайва трата
watch-	спостерігати
watch-	годинник (наручні)
water-	вода
wave-	махати
wave-	хвиля
way-	дорога
we-	ми
weak-	слабкий
wealth-	багатство
wear-	носити (одяг)
weather-	погода
week-	тиждень
weekend-	вихідні дні
weigh-	важити
welcome-	бажаний
welcome-	вітати
well-	добре
well-	здоровий
wet-	мокрий
what-	що
whatever-	незалежно
wheel-	колесо
when-	коли
whenever-	щоразу коли
where-	де
wherever-	де б не
whether-	чи
which-	який
whichever-	навіть дуже
while-	поки
whisper-	шепотіти
whistle-	свистіти
whistle-	свисток
who-	хто
whoever-	хоч би хто
whole-	весь
whom-	кого
why-	чому
wide-	широкий
wide-	широко
wild-	дикий
will-	заповіт
will-	висловлює обіцянку
willing-	готовий (зробити що-л.)
win-	перемогти
wind-	вітер
wind-	витися
window-	вікно
wing-	крило
winter-	зима
wipe-	витирати
wire-	дріт
wise-	мудрий
wish-	бажання
wish-	бажати
with-	з
within-	всередині
without-	без
woman-	жінка
wonder-	дивуватися
word-	слово
work-	робота
work-	працювати
work on-	продовжувати працювати
work out-	вирішувати
work up to-	відпрацьовувати
world-	світ
worried-	стурбований
worry-	беспоко ть (ся)
worse-	найгірший
worst-	найгірший
worth-	стоїть
worth-	ціна
would-	виражає бажання
wrap-	загортати
write-	писати
wrong-	неправильний
year-	рік
yes-	та
yesterday-	вчора
yet-	ще
you-	ти
young-	молодий
your-	ваш
yours-	ваш
yourself-	себе
zero-	нуль
was-бути
